,School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral,district
165,Boston - Another Course To College,350541,     252,4.0,,,,,,,,not D4
166,Boston - Baldwin Early Learning Center,350003,     169,0.0,,,,,,,,not D4
167,Boston - Beethoven,350021,     360,1.0,,,,,,,,not D4
168,Boston - Blackstone,350390,     682,44.0,3.5,4.1,0.0,0.0,0.0,,,not D4
169,Boston - Boston Adult Academy,350548,     322,0.0,,,,,,,,not D4
170,Boston - Boston Arts Academy,350546,     443,3.0,,,,,,,,not D4
171,Boston - Boston Community Leadership Academy,350558,     535,28.0,0.0,5.2,0.0,0.0,0.0,,,not D4
172,Boston - Boston International  High School,350507,     505,31.0,0.4,5.9,0.0,0.0,0.0,,,not D4
173,Boston - Boston Latin,350560,"   2,465",9.0,0.0,0.3,0.0,0.0,0.0,,,not D4
174,Boston - Boston Latin Academy,350545,"   1,730",36.0,0.0,2.1,0.0,0.0,0.0,,,not D4
175,Boston - Boston Middle School Academy,350413,      60,6.0,6.7,8.3,0.0,0.0,0.0,,,not D4
176,Boston - Boston Teachers Union School,350012,     349,10.0,0.3,2.9,0.0,0.0,0.0,,,E13
177,Boston - Brighton High,350505,"   1,047",107.0,0.0,10.2,0.0,0.0,0.0,,,not D4
178,Boston - Carter Developmental Center,350036,      32,0.0,,,,,,,,not D4
179,Boston - Charles H Taylor,350054,     622,8.0,0.0,1.3,0.0,0.0,0.0,,,not D4
180,Boston - Charles Sumner,350052,     608,1.0,,,,,,,,not D4
181,Boston - Charlestown High,350515,"   1,079",130.0,2.4,10.8,0.0,0.0,0.0,,,not D4
182,Boston - Clarence R Edwards Middle,350430,     437,64.0,9.2,8.0,0.0,0.0,0.0,,,not D4
183,Boston - Community Academy,350518,     142,21.0,0.7,14.8,0.0,0.0,0.0,,,not D4
184,Boston - Community Academy of Science and Health,350581,     434,33.0,0.0,7.6,0.2,0.0,0.0,,,not D4
185,Boston - Curley K-8 School,350020,     977,41.0,0.4,3.8,0.0,0.0,0.0,,,E13
186,Boston - Curtis Guild,350062,     383,0.0,,,,,,,,not D4
187,Boston - Dante Alighieri Montessori School,350066,      88,0.0,,,,,,,,not D4
188,Boston - David A Ellis,350072,     494,2.0,,,,,,,,not D4
189,Boston - Dearborn,350074,     288,39.0,0.0,13.5,0.0,0.0,0.0,,,not D4
190,Boston - Dennis C Haley,350077,     413,5.0,,,,,,,,not D4
191,Boston - Donald Mckay,350080,     741,54.0,4.7,3.8,0.0,0.0,0.0,,,not D4
192,Boston - Dorchester Academy,350651,     435,68.0,0.2,15.4,0.0,0.0,0.0,,,not D4
193,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,350008,     192,2.0,,,,,,,,B3
194,Boston - Dr. William Henderson Lower,350266,     234,0.0,,,,,,,,C11
195,Boston - Dr. William Henderson Upper,350426,     396,52.0,0.5,13.1,0.0,0.0,0.0,,,not D4
196,Boston - ELC - West Zone,350006,     108,1.0,,,,,,,,not D4
197,Boston - East Boston Early Childhood Center,350009,     197,0.0,,,,,,,,not D4
198,Boston - East Boston High,350530,"   1,661",56.0,0.4,3.1,0.1,0.0,0.0,,,not D4
199,Boston - Edison K-8,350375,     916,46.0,0.2,4.9,0.0,0.0,0.0,,,not D4
200,Boston - Edward Everett,350088,     328,13.0,0.6,3.7,0.0,0.0,0.0,,,C11
201,Boston - Elihu Greenwood Leadership Academy,350094,     393,45.0,0.3,11.5,0.0,0.0,0.0,,,not D4
202,Boston - Eliot Elementary,350096,     480,2.0,,,,,,,,not D4
203,Boston - Ellis Mendell,350100,     260,15.0,1.5,4.2,0.0,0.0,0.0,,,not D4
204,Boston - Excel High School,350522,     617,49.0,0.8,7.6,0.0,0.0,0.0,,,not D4
205,Boston - Fenway High School,350540,     333,28.0,1.5,7.8,0.0,0.0,0.0,,,not D4
206,Boston - Franklin D Roosevelt,350116,     473,11.0,0.2,2.1,0.0,0.0,0.0,,,not D4
207,Boston - Gardner Pilot Academy,350326,     406,19.0,1.2,3.7,0.0,0.0,0.0,,,not D4
208,Boston - George H Conley,350122,     244,4.0,,,,,,,,not D4
209,Boston - Greater Egleston Community High School,350543,     239,0.0,,,,,,,,not D4
210,Boston - Harvard-Kent,350200,     609,5.0,,,,,,,,not D4
211,Boston - Haynes Early Education Center,350010,     203,0.0,,,,,,,,not D4
212,Boston - Henry Grew,350135,     291,1.0,,,,,,,,not D4
213,Boston - Higginson,350015,     237,7.0,1.3,1.7,0.0,0.0,0.0,,,not D4
214,Boston - Higginson/Lewis K-8,350377,     471,42.0,0.4,8.9,0.0,0.0,0.0,,,not D4
215,Boston - Horace Mann School for the Deaf,350750,     117,1.0,,,,,,,,not D4
216,Boston - Hugh Roe ODonnell,350141,     317,0.0,,,,,,,,not D4
217,Boston - Jackson Mann,350013,     870,17.0,0.0,2.0,0.0,0.0,0.0,,,not D4
218,Boston - James Condon Elementary,350146,     874,13.0,0.0,1.5,0.0,0.0,0.0,,,not D4
219,Boston - James J Chittick,350154,     344,0.0,,,,,,,,not D4
220,Boston - James Otis,350156,     410,0.0,,,,,,,,not D4
221,Boston - James P Timilty Middle,350485,     512,87.0,1.4,16.2,0.2,0.0,0.0,,,not D4
222,Boston - James W Hennigan,350153,     692,26.0,0.9,3.2,0.0,0.0,0.1,,,not D4
223,Boston - Jeremiah E Burke High,350525,     602,7.0,0.0,1.2,0.0,0.0,0.0,,,not D4
224,Boston - John D Philbrick,350172,     183,7.0,1.6,3.3,0.0,0.0,0.0,,,not D4
225,Boston - John F Kennedy,350166,     429,3.0,,,,,,,,E13
226,Boston - John W McCormack,350179,     671,148.0,1.6,21.3,0.3,0.0,0.0,,,not D4
227,Boston - John Winthrop,350180,     379,63.0,1.3,16.4,0.0,0.0,0.0,,,C11
228,Boston - Joseph J Hurley,350182,     356,6.0,0.0,1.7,0.0,0.0,0.0,,,not D4
229,Boston - Joseph Lee,350183,     727,54.0,0.1,7.4,0.0,0.0,0.0,,,C11
230,Boston - Joseph P Manning,350184,     170,7.0,0.6,4.1,0.0,0.0,0.0,,,E13
231,Boston - Joseph P Tynan,350181,     460,8.0,0.0,1.7,0.0,0.0,0.0,,,not D4
232,Boston - Josiah Quincy,350286,     813,5.0,,,,,,,,not D4
233,Boston - Joyce Kilmer,350190,     471,0.0,,,,,,,,not D4
234,Boston - King K-8,350376,     574,61.0,2.3,9.6,0.2,0.0,0.0,,,C11
235,Boston - Lee Academy,350001,     243,0.0,,,,,,,,C11
236,Boston - Lilla G. Frederick Middle School,350383,     602,68.0,0.7,10.8,0.0,0.0,0.0,,,not D4
237,Boston - Lyndon,350262,     566,4.0,,,,,,,,not D4
238,Boston - Lyon K-8,350004,     144,14.0,4.2,6.3,0.0,0.0,0.0,,,not D4
239,Boston - Lyon Upper 9-12,350655,     137,26.0,5.1,17.5,0.0,0.0,0.0,,,not D4
240,Boston - Madison Park High,350537,     954,77.0,0.3,8.0,0.0,0.0,0.0,,,not D4
241,Boston - Manassah E Bradley,350215,     321,0.0,,,,,,,,not D4
242,Boston - Margarita Muniz Academy,350549,     236,10.0,0.4,3.8,0.0,0.0,0.0,,,not D4
243,Boston - Mario Umana Academy,350656,     853,32.0,0.4,3.4,0.1,0.0,0.0,,,not D4
244,Boston - Mather,350227,     642,18.0,0.8,2.2,0.0,0.0,0.0,,,C11
245,Boston - Mattahunt,350226,     719,62.0,0.3,8.6,0.0,0.0,0.0,,,not D4
246,Boston - Maurice J Tobin,350229,     514,12.0,0.2,2.1,0.0,0.0,0.0,,,not D4
247,Boston - Michael J Perkins,350231,     258,0.0,,,,,,,,not D4
248,Boston - Mildred Avenue K-8,350378,     439,14.0,0.5,3.0,0.0,0.0,0.0,,,B3
249,Boston - Mission Hill School,350382,     242,0.0,,,,,,,,E13
250,Boston - Mozart,350237,     194,2.0,,,,,,,,not D4
251,Boston - Nathan Hale,350243,     195,0.0,,,,,,,,not D4
252,Boston - New Mission High School,350542,     307,3.0,,,,,,,,not D4
253,Boston - O W Holmes,350138,     414,19.0,0.5,4.6,0.0,0.0,0.0,,,C11
254,Boston - OBryant School Math/Science,350575,"   1,425",2.0,,,,,,,,not D4
255,Boston - Oliver Hazard Perry,350255,     273,11.0,3.3,2.9,0.0,0.0,0.0,,,not D4
256,Boston - Orchard Gardens,350257,     892,73.0,0.3,8.0,0.0,0.0,0.0,,,not D4
257,Boston - Patrick J Kennedy,350264,     338,2.0,,,,,,,,not D4
258,Boston - Paul A Dever,350268,     574,19.0,0.5,3.1,0.0,0.0,0.0,,,C11
259,Boston - Pauline Agassiz Shaw Elementary School,350014,     130,1.0,,,,,,,,not D4
260,Boston - Phineas Bates,350278,     321,12.0,0.3,3.4,0.0,0.0,0.0,,,not D4
261,Boston - Quincy Upper School,350565,     502,22.0,0.2,4.2,0.0,0.0,0.0,,,not D4
262,Boston - Rafael Hernandez,350691,     422,11.0,2.4,0.9,0.0,0.0,0.0,,,not D4
263,Boston - Richard J Murphy,350240,     942,28.0,0.6,2.8,0.0,0.0,0.0,,,not D4
264,Boston - Roger Clap,350298,     206,5.0,,,,,,,,not D4
265,Boston - Samuel Adams,350302,     328,6.0,0.3,1.5,0.0,0.0,0.0,,,not D4
266,Boston - Samuel W Mason,350304,     255,0.0,,,,,,,,not D4
267,Boston - Sarah Greenwood,350308,     455,53.0,3.1,10.5,0.0,0.0,0.0,,,not D4
268,Boston - Snowden International School at Copley,350690,     406,36.0,0.2,8.9,0.0,0.0,0.0,,,not D4
269,Boston - TechBoston Academy,350657,"   1,050",151.0,4.5,11.9,0.0,0.0,0.0,,,not D4
270,Boston - The English High,350535,     658,58.0,0.2,8.5,0.2,0.0,0.0,,,not D4
271,Boston - Thomas J Kenny,350328,     364,24.0,1.4,6.0,0.0,0.0,0.0,,,not D4
272,Boston - UP Academy Holland,350167,     787,96.0,7.0,9.3,0.0,0.0,0.0,,,not D4
273,Boston - Urban Science Academy,350579,     528,23.0,1.3,3.4,0.4,0.0,0.0,,,not D4
274,Boston - Warren-Prescott,350346,     563,8.0,0.0,1.4,0.0,0.0,0.0,,,not D4
275,Boston - Washington Irving Middle,350445,     394,68.0,1.0,16.2,0.0,0.0,0.0,,,not D4
276,Boston - West Roxbury Academy,350658,     625,47.0,0.2,7.4,0.3,0.0,0.0,,,not D4
277,Boston - William E Russell,350366,     430,0.0,,,,,,,,not D4
278,Boston - William Ellery Channing,350360,     350,9.0,0.0,2.6,0.0,0.0,0.0,,,not D4
279,Boston - William H Ohrenberger,350258,     673,16.0,0.0,2.4,0.0,0.0,0.0,,,not D4
280,Boston - William McKinley,350363,     471,143.0,0.2,30.4,0.0,0.0,0.0,,,not D4
281,Boston - William Monroe Trotter,350370,     535,1.0,,,,,,,,not D4
282,Boston - Winship Elementary,350374,     356,1.0,,,,,,,,not D4
283,Boston - Wm B Rogers Middle,350470,     388,47.0,0.8,11.3,0.0,0.0,0.0,,,not D4
284,Boston - Young Achievers,350380,     535,69.0,1.5,12.3,0.0,0.0,0.0,,,not D4
285,Boston Collegiate Charter - Boston Collegiate Charter School,4490305,     691,53.0,3.5,4.2,0.0,0.4,0.0,,,not D4
286,Boston Day and Evening Academy Charter - Boston Day and Evening Academy Charter School,4240505,     472,1.0,,,,,,,,not D4
287,Boston Green Academy Horace Mann Charter School - Boston Green Academy Horace Mann Charter School,4110305,     426,40.0,0.0,9.4,0.0,0.0,0.0,,,not D4
288,Boston Preparatory Charter Public - Boston Preparatory Charter Public School,4160305,     404,80.0,6.2,17.1,0.0,0.0,0.0,,,not D4
289,Boston Renaissance Charter Public - Boston Renaissance Charter  Public School,4810550,     971,64.0,2.2,5.7,0.0,0.0,0.0,,,not D4
309,Bridge Boston Charter School - Bridge Boston Charter School,4170205,     195,8.0,3.6,0.5,0.0,0.0,1.0,,,not D4
344,Brooke Charter School East Boston - Brooke Charter School East Boston,4570205,     397,36.0,0.0,9.1,0.0,0.0,0.0,,,not D4
778,KIPP Academy Boston Charter School (District) - KIPP Academy Boston Charter School,4630205,     300,76.0,16.7,18.3,0.0,0.0,0.0,,,B3
1615,UP Academy Charter School of Boston - UP Academy Charter School of Boston,4800405,     491,111.0,9.8,20.4,0.0,0.0,0.0,,,not D4
